supplier_key,supplier_name,country,lead_time_days
1,"Rodriguez, Figueroa and Sanchez",South Africa,8
2,Doyle Ltd,South Africa,30
3,"Mcclain, Miller and Henderson",Kenya,4
4,Davis and Sons,Kenya,16
5,"Guzman, Hoffman and Baldwin",China,35
6,"Gardner, Robinson and Lawrence",South Africa,4
7,Blake and Sons,South Africa,15
8,"Henderson, Ramirez and Lewis",Germany,44
9,Garcia-James,Germany,37
10,Abbott-Munoz,UAE,17
11,Blair PLC,UAE,40
12,Dudley Group,India,3
13,Arnold Ltd,USA,13
14,"Mcclure, Ward and Lee",Germany,30
15,Williams and Sons,India,20
