movement_id,date_key,product_key,warehouse_key,supplier_key,movement_type_key,quantity,unit_cost
1,1,17,4,10.0,1,243,198.42
2,1,90,3,3.0,1,156,85.65
3,1,96,6,14.0,2,42,231.12
4,1,14,5,,4,80,354.1
5,1,117,4,12.0,2,51,132.08
6,1,89,6,12.0,1,198,228.5
7,1,88,5,13.0,1,145,52.66
8,1,45,5,6.0,2,18,193.58
9,1,44,1,14.0,2,126,370.69
10,1,10060,3,14.0,1,118,393.57
11,1,56,2,11.0,2,70,269.33
12,1,118,5,8.0,2,112,102.4
13,1,76,3,4.0,2,213,327.0
14,1,36,4,8.0,4,146,112.83
15,1,49,3,,2,218,217.79
16,1,63,2,5.0,1,88,114.14
17,1,77,6,9.0,1,3,11.42
18,1,25,1,7.0,2,126,381.49
19,1,31,6,12.0,2,126,276.57
20,1,3,1,7.0,1,178,184.85
21,1,85,5,9.0,1,136,173.66
22,1,96,5,12.0,1,117,231.12
23,1,33,2,4.0,1,81,136.56
24,1,69,6,4.0,1,190,334.17
25,1,93,5,9.0,2,153,39.17
26,1,13,2,6.0,1,46,350.79
27,1,91,5,1.0,1,250,177.83
28,1,38,6,11.0,1,223,323.38
29,1,14,1,8.0,2,123,354.1
30,1,24,1,14.0,1,123,204.05
31,1,9,4,10.0,1,162,254.72
32,1,20,2,5.0,2,22,344.59
33,1,16,5,10.0,5,153,359.33
34,1,29,5,15.0,2,114,264.58
35,1,76,4,10.0,1,16,327.0
36,2,95,1,4.0,2,161,245.29
37,2,85,1,3.0,1,142,173.66
38,2,1,4,10.0,1,121,382.97
39,2,30,3,12.0,1,221,349.23
40,2,88,2,13.0,2,203,52.66
41,2,85,2,9.0,2,58,173.66
42,2,117,3,2.0,2,16,132.08
43,2,40,5,10.0,1,236,162.24
44,2,16,4,12.0,1,104,359.33
45,2,65,5,2.0,4,154,38.73
46,2,56,6,5.0,1,7,269.33
47,2,10118,6,10.0,1,151,102.4
48,2,98,6,10.0,4,11,89.1
49,2,23,4,8.0,2,235,204.06
50,2,75,4,8.0,1,249,45.02
51,2,45,4,11.0,1,27,193.58
52,2,43,4,5.0,3,170,40.97
53,2,105,5,,4,23,115.72
54,2,42,1,7.0,1,222,186.13
55,2,1,6,8.0,2,106,382.97
56,2,67,3,8.0,1,161,177.85
57,2,7,2,3.0,1,238,255.0
58,2,113,6,1.0,1,250,268.21
59,2,103,2,5.0,2,142,105.16
60,2,53,1,14.0,1,234,99.99
61,2,10055,1,3.0,1,128,268.55
62,2,38,5,7.0,4,214,323.38
63,2,61,2,3.0,2,99,327.21
64,2,77,5,3.0,1,222,11.42
65,2,99,4,13.0,1,130,21.99
66,2,1,3,14.0,1,151,382.97
67,2,85,4,8.0,2,138,173.66
68,2,43,5,7.0,2,117,40.97
69,2,112,2,4.0,4,147,89.33
70,2,110,4,12.0,1,122,4.35
71,2,104,4,11.0,2,203,194.87
72,3,5,2,10.0,2,85,282.42
73,3,112,4,15.0,3,117,89.33
74,3,19,4,3.0,1,20,153.88
75,3,34,3,7.0,2,167,4.86
76,3,43,6,7.0,1,245,40.97
77,3,92,4,1.0,1,159,69.54
78,3,81,6,4.0,1,192,45.14
79,3,13,6,2.0,1,114,350.79
80,3,39,1,13.0,1,15,170.58
81,3,48,4,9.0,1,106,77.58
82,3,102,2,2.0,2,157,332.57
83,3,80,6,15.0,3,150,351.06
84,3,60,6,5.0,1,171,393.57
85,3,103,4,11.0,1,140,105.16
86,3,57,3,5.0,1,164,184.4
87,3,89,3,5.0,4,51,228.5
88,3,110,4,7.0,5,147,4.35
89,3,38,6,14.0,1,169,323.38
90,3,2,5,13.0,1,191,144.87
91,3,117,5,14.0,4,232,132.08
92,3,100,2,6.0,3,57,320.96
93,3,80,3,12.0,2,197,351.06
94,3,108,2,15.0,2,161,167.48
95,3,40,4,,2,94,162.24
96,3,12,3,7.0,2,45,322.41
97,3,101,5,6.0,1,136,380.12
