date_key,product_key,warehouse_key,quantity_on_hand
1,117,6,224
1,9,4,359
1,111,6,349
1,84,4,483
1,57,3,299
1,10,6,308
1,15,1,262
1,46,4,294
1,47,3,362
1,113,2,118
1,38,4,368
1,69,5,460
1,48,6,87
1,110,4,177
1,41,2,200
1,91,4,162
1,55,5,122
1,44,6,239
1,95,6,105
1,83,1,470
1,20,4,69
1,62,6,124
1,19,3,328
1,97,4,270
1,52,6,248
1,36,5,456
1,93,3,146
1,10118,2,73
1,75,4,397
1,10096,5,485
1,119,5,388
1,82,1,138
1,50,5,55
1,36,2,489
1,87,6,303
1,29,3,214
1,10,2,269
1,98,3,409
1,69,6,549
1,3,4,328
1,51,2,439
1,60,1,113
1,36,3,266
1,3,1,274
1,99,6,352
1,60,5,431
1,115,1,232
1,7,6,148
1,85,4,298
1,95,1,299
1,64,3,186
1,79,4,73
1,35,3,178
1,5,1,102
1,81,4,405
1,112,1,361
1,39,6,82
1,73,3,123
1,66,4,80
1,120,4,405
1,78,4,348
1,59,1,58
1,42,3,164
1,98,1,292
1,14,4,226
1,87,4,286
1,88,4,139
1,45,5,405
1,4,3,379
1,51,5,158
1,98,2,436
1,76,4,103
1,77,6,105
1,56,1,451
1,80,2,346
1,35,1,387
1,108,2,302
1,108,5,290
1,112,4,115
1,97,5,271
1,44,5,217
1,59,4,74
1,35,2,393
1,71,3,163
1,99,2,161
1,57,2,109
1,96,6,243
1,36,4,360
1,86,5,374
1,94,6,62
1,105,3,371
1,118,5,386
1,10096,3,436
1,63,1,494
1,61,4,209
1,28,3,419
1,32,4,372
1,73,1,423
1,109,6,179
1,34,3,294
1,64,2,477
1,2,1,100
1,112,3,460
1,120,1,437
1,18,3,195
1,38,2,277
1,88,1,214
1,30,1,64
1,43,4,451
1,114,1,442
1,43,6,55
1,85,6,106
1,48,5,329
1,10055,2,398
1,97,2,113
1,34,5,276
1,71,5,399
1,119,3,213
1,106,6,288
1,32,5,220
1,67,1,408
1,55,1,234
1,22,3,372
1,15,6,121
1,2,3,315
1,27,1,362
1,24,5,365
1,10055,3,432
1,25,3,426
1,44,1,307
1,79,5,486
1,90,2,305
1,67,4,409
1,18,5,388
1,53,5,333
1,10055,6,401
1,41,5,301
1,81,5,265
1,21,2,114
2,117,6,224
2,45,1,435
2,97,3,118
2,10,6,308
2,79,6,330
2,38,4,368
2,87,5,494
2,25,1,176
2,110,4,299
2,41,2,200
2,50,2,462
2,33,4,466
2,91,4,162
2,10096,4,363
2,100,3,392
2,17,1,142
2,95,6,105
2,74,1,313
2,83,1,470
2,8,1,242
2,20,4,69
2,40,4,360
2,86,4,173
2,66,6,482
2,112,2,474
2,33,3,338
2,75,4,646
2,82,1,138
2,25,6,332
2,37,6,119
2,36,2,489
2,17,6,338
2,3,1,274
2,69,4,396
2,45,6,450
2,78,2,319
2,58,3,172
2,85,1,561
2,64,3,186
2,6,4,165
2,81,4,405
2,10,1,493
2,112,1,361
2,27,5,431
2,39,6,82
2,120,4,405
2,27,3,440
2,90,6,426
2,8,6,375
2,42,3,164
2,98,1,292
2,72,3,422
2,88,4,139
2,103,5,151
2,37,1,295
2,24,2,285
2,68,4,210
2,119,1,491
2,80,2,346
2,35,1,387
2,108,5,290
2,54,1,448
2,21,1,186
2,108,6,329
2,97,5,271
2,35,2,393
2,99,2,161
2,31,2,137
2,36,4,360
2,94,3,464
2,76,6,179
2,107,2,469
2,86,5,374
2,54,5,476
2,41,1,322
2,118,5,386
2,89,6,458
2,98,5,99
2,10096,3,436
2,68,1,168
2,113,5,167
2,57,1,404
2,63,1,494
2,61,4,209
2,88,2,134
2,34,3,294
2,97,6,382
2,64,2,477
2,40,1,295
2,39,1,335
2,102,6,317
2,43,5,21
2,38,1,131
2,43,6,55
2,62,4,276
2,85,6,106
2,90,4,363
2,64,4,95
